FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS),FILTER_POSITION
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355582331.tiff,cfc_capture_1719355582331_tiff,1719355582331,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355585645.tiff,cfc_capture_1719355585645_tiff,1719355585645,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355588934.tiff,cfc_capture_1719355588934_tiff,1719355588934,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355592224.tiff,cfc_capture_1719355592224_tiff,1719355592224,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355595502.tiff,cfc_capture_1719355595502_tiff,1719355595502,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355598741.tiff,cfc_capture_1719355598741_tiff,1719355598741,9,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355601992.tiff,cfc_capture_1719355601992_tiff,1719355601992,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355605268.tiff,cfc_capture_1719355605268_tiff,1719355605268,9,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355608511.tiff,cfc_capture_1719355608511_tiff,1719355608511,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719355611817.tiff,cfc_capture_1719355611817_tiff,1719355611817,9,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356007505.tiff,cfc_capture_1719356007505_tiff,1719356007505,9,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356010846.tiff,cfc_capture_1719356010846_tiff,1719356010846,7,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356014151.tiff,cfc_capture_1719356014151_tiff,1719356014151,7,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356017371.tiff,cfc_capture_1719356017371_tiff,1719356017371,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356020675.tiff,cfc_capture_1719356020675_tiff,1719356020675,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356024014.tiff,cfc_capture_1719356024014_tiff,1719356024014,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356027246.tiff,cfc_capture_1719356027246_tiff,1719356027246,8,3
